Position.x,Name,Weight.x,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad,Source_File,Link,Height,Weight.y,Dash40,Shuttle20,Vertical,Position.y,SPARQ,Power_Throw
QB,Teddy Bridgewater,214,74.125,33,9.25,30,113,63,https://www.espn.com/college-sports/football/recruiting/player/_/id/90920/teddy-bridgewater,74,179,4.88,4.13,31.5,qb,NA,NA
QB,Teddy Bridgewater,214,74.125,33,9.25,30,113,70,https://www.espn.com/college-sports/football/recruiting/player/_/id/90920/teddy-bridgewater,74,179,4.88,4.13,31.5,qb,NA,NA
RB,Kapri Bibbs,212,69.375,31.375,8.5,29,106,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/108030/kapri-bibbs,70,194,4.63,4.44,33.5,rb,NA,NA
RB,Jeremy Hill,233,72.625,32.625,10.375,29.5,113,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/101252/jeremy-hill,73,224,4.8,4.5,28,rb,NA,NA
RB,Bishop Sankey,209,69.5,31,10,35.5,126,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/101260/bishop-sankey,69,185,4.51,4.03,31.5,rb,NA,NA
WO,Mike Davis,197,72,32.75,10,NA,NA,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/123954/mike-davis,70,200,4.62,4.02,36.8,rb,NA,NA
TE,A.C. Leonard,252,74.375,33,9.25,34,128,1,https://www.espn.com/college-sports/football/recruiting/player/_/id/85823/ac-leonard,75,232,4.7,4.47,42,at,NA,NA
DL,Chris Smith,266,73,34.125,9.5,37,121,13,https://www.espn.com/college-sports/football/recruiting/player/_/id/196859/chris-smith,71,170,4.84,4.37,31.8,cb,70.26,NA
LB,Ryan Shazier,237,73,32.375,10,42,130,49,https://www.espn.com/college-sports/football/recruiting/player/_/id/90479/ryan-shazier,74,205,4.44,4.56,38,ol,NA,NA
DB,Vinnie Sunseri,210,71,30,10,NA,NA,49,https://www.espn.com/college-sports/football/recruiting/player/_/id/99119/vinnie-sunseri,71,202,4.56,4.16,29.5,ol,NA,NA
RB,David Cobb,229,71,31.625,9.375,38.5,121,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/105400/david-cobb,71,208,4.75,4.29,35,rb,NA,NA
RB,Mike Davis,217,69.125,30.25,9.375,34,116,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/123954/mike-davis,70,200,4.62,4.02,36.8,rb,NA,NA
RB,Melvin Gordon,215,72.625,32.375,9.75,35,126,1,https://www.espn.com/college-sports/football/recruiting/player/_/id/88069/melvin-gordon,72,182,4.52,4.31,40.2,at,NA,NA
RB,Matt Jones,231,74.375,32,8.625,31.5,112,46,https://www.espn.com/college-sports/football/recruiting/player/_/id/185506/matt-jones,75,314,5.95,5,19,og,NA,NA
RB,Matt Jones,231,74.375,32,8.625,31.5,112,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/105633/matt-jones,75,210,4.72,NA,24,rb,NA,NA
RB,Thomas Rawls,215,69,30.75,9.5,35.5,116,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/108056/thomas-rawls,70,215,4.7,4.69,31.7,rb,NA,NA
RB,Trey Williams,195,67.5,29.875,8.25,33.5,119,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/110306/trey-williams,68,180,4.37,4.38,35.5,rb,NA,NA
WO,Nelson Agholor,198,72.125,32.25,9.25,NA,NA,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/116761/nelson-agholor,73,180,4.59,4.56,29.5,wr,NA,NA
WO,Chris Conley,213,73.875,33.75,9.875,45,139,102,https://www.espn.com/college-sports/football/recruiting/player/_/id/89331/chris-conley,75,191,4.51,4.4,38.1,wr,NA,NA
WO,DaVaris Daniels,201,73.5,31.25,9,37,122,102,https://www.espn.com/college-sports/football/recruiting/player/_/id/87760/davaris-daniels,74,164,4.67,4.27,41.5,wr,NA,NA
WO,Titus Davis,196,72.75,29.625,8.25,32.5,119,25,https://www.espn.com/college-sports/football/recruiting/player/_/id/177564/titus-davis,75,228,5.28,4.69,24.7,dl,53.43,NA
WO,Stefon Diggs,195,72,31.25,10,35,115,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/113715/stefon-diggs,72,185,4.45,4.29,31.5,at,NA,NA
WO,Phillip Dorsett,185,69.375,30.25,9.375,37,122,102,https://www.espn.com/college-sports/football/recruiting/player/_/id/81870/phillip-dorsett,69,167,4.43,4.28,36.5,wr,NA,NA
WO,Rashad Greene,182,71.375,31.625,9,36.5,122,102,https://www.espn.com/college-sports/football/recruiting/player/_/id/101467/rashad-greene,72,170,4.42,4.16,41,wr,NA,NA
WO,Darren Waller,238,78.125,33.25,9,37,125,84,https://www.espn.com/college-sports/football/recruiting/player/_/id/110610/darren-waller,76,203,4.4,4.5,36.5,s_,NA,NA
TE,Jesse James,261,79,33,9.375,37.5,121,96,https://www.espn.com/college-sports/football/recruiting/player/_/id/112672/jesse-james,80,243,4.88,4.5,27.9,ti,NA,NA
OL,La'El Collins,305,76.5,33.25,10.375,27,108,56,https://www.espn.com/college-sports/football/recruiting/player/_/id/101242/lael-collins,77,281,5.37,4.89,24,ot,NA,NA
OL,Ereck Flowers,329,78.25,34.5,9.875,NA,NA,57,https://www.espn.com/college-sports/football/recruiting/player/_/id/128073/ereck-flowers,78,295,5.52,5.14,19.6,ot,NA,NA
OL,D.J. Humphries,307,77,33.625,10,31,104,57,https://www.espn.com/college-sports/football/recruiting/player/_/id/112961/dj-humphries,78,275,5.17,4.88,27.6,ot,NA,NA
DL,Joey Mbu,313,74.875,35,9.25,22.5,97,28,https://www.espn.com/college-sports/football/recruiting/player/_/id/112890/joey-mbu,75,299,5.66,5.6,24.9,dt,NA,NA
DL,Ellis McCarthy,338,76.625,34.125,9.875,32,109,29,https://www.espn.com/college-sports/football/recruiting/player/_/id/94266/ellis-mccarthy,76,305,5.11,4.77,28.1,dt,NA,NA
DL,Darius Philon,298,73.375,32.375,9.5,31,107,29,https://www.espn.com/college-sports/football/recruiting/player/_/id/116744/darius-philon,73,263,4.93,4.63,26.3,dt,NA,NA
LB,Kwon Alexander,227,72.75,30.25,9.25,36,121,50,https://www.espn.com/college-sports/football/recruiting/player/_/id/115780/kwon-alexander,74,215,4.51,4.2,33.8,ol,NA,NA
LB,Amarlo Herrera,244,72.625,32.75,9.625,32,111,49,https://www.espn.com/college-sports/football/recruiting/player/_/id/104419/amarlo-herrera,73,224,4.74,4.42,27.5,ol,NA,NA
LB,Shaq Thompson,228,72.125,33,9.5,33.5,117,85,https://www.espn.com/college-sports/football/recruiting/player/_/id/115108/shaq-thompson,74,210,4.57,4.21,30,s_,NA,NA
DB,Adrian Amos,218,72.5,32.25,9.125,35.5,122,84,https://www.espn.com/college-sports/football/recruiting/player/_/id/104094/adrian-amos,71,190,4.8,4.1,35.8,s_,NA,NA
DB,Alex Carter,196,72.125,32.125,9.125,40,121,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/116961/alex-carter,73,190,4.42,4,38.4,at,NA,NA
DB,Landon Collins,228,72,31.5,9.375,35,120,85,https://www.espn.com/college-sports/football/recruiting/player/_/id/115402/landon-collins,72,210,4.39,4.46,43.6,s_,NA,NA
DB,Ronald Darby,193,70.625,31.375,8.625,41.5,129,9,https://www.espn.com/college-sports/football/recruiting/player/_/id/92070/ronald-darby,71,176,4.31,4.28,36,cb,NA,NA
DB,Doran Grant,200,70.25,30.25,9.375,33,116,8,https://www.espn.com/college-sports/football/recruiting/player/_/id/87243/doran-grant,71,177,4.56,3.97,41.2,cb,NA,NA
DB,Gerod Holliman,218,72,32,9.5,NA,NA,84,https://www.espn.com/college-sports/football/recruiting/player/_/id/105281/gerod-holliman,72,188,4.65,4.27,23.5,s_,NA,NA
DB,Kyshoen Jarrett,200,69.875,31,9.75,33,109,8,https://www.espn.com/college-sports/football/recruiting/player/_/id/86693/kyshoen-jarrett,71,184,4.6,4.61,27,cb,NA,NA
DB,James Sample,209,74.125,32,9.5,32.5,123,49,https://www.espn.com/college-sports/football/recruiting/player/_/id/105273/james-sample,75,195,4.65,4.65,30.1,ol,NA,NA
DB,Trae Waynes,186,72.125,31,8.25,38,122,84,https://www.espn.com/college-sports/football/recruiting/player/_/id/105413/trae-waynes,71,158,4.33,4.45,33,s_,NA,NA
DB,P.J. Williams,194,72,31,8.625,40,132,85,https://www.espn.com/college-sports/football/recruiting/player/_/id/109442/pj-williams,72,180,4.46,4.31,39.6,s_,NA,NA
QB,Jeff Driskel,234,76,33.5,9.75,32,122,63,https://www.espn.com/college-sports/football/recruiting/player/_/id/84800/jeff-driskel,76,224,4.54,4.34,26.5,qb,NA,NA
QB,Jeff Driskel,234,76,33.5,9.75,32,122,70,https://www.espn.com/college-sports/football/recruiting/player/_/id/84800/jeff-driskel,76,224,4.54,4.34,26.5,qb,NA,NA
QB,Christian Hackenberg,223,76.375,32,9,31,114,72,https://www.espn.com/college-sports/football/recruiting/player/_/id/142578/christian-hackenberg,76,212,4.84,4.34,30.1,qb,NA,NA
RB,Peyton Barber,228,70,30.25,9.375,32.5,111,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/134494/peyton-barber,70,210,4.71,4.25,30.9,rb,NA,NA
RB,Kenyan Drake,210,72.625,31.75,9.75,34.5,123,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/110650/kenyan-drake,73,195,4.52,4.18,38.4,rb,NA,NA
RB,Derrick Henry,247,74.5,33,8.75,37,130,3,https://www.espn.com/college-sports/football/recruiting/player/_/id/108717/derrick-henry,75,243,4.72,4.47,37.5,at,NA,NA
RB,Keith Marshall,219,71.375,31.625,9.375,30.5,NA,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/83941/keith-marshall,71,190,4.43,NA,33.8,rb,NA,NA
RB,Kelvin Taylor,207,70.25,29.25,8.25,32,113,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/90971/kelvin-taylor,71,216,4.63,4.59,31,rb,NA,NA
RB,DeAndre Washington,204,68.25,30,9,34.5,118,1,https://www.espn.com/college-sports/football/recruiting/player/_/id/98606/deandre-washington,68,190,4.61,4.19,34.5,at,NA,NA
RB,Brandon Wilds,220,72.75,32,10.25,36.5,118,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/84022/brandon-wilds,73,220,4.64,4.31,34,rb,NA,NA
