#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
QB,"Borltes, Blake",6050,232,32 7/8,9 3/8,"32.5""","9'7""",QB,77,,,32.5,115
QB,"Boyd, Tajh",6005,222,30 3/4,9 5/8,"30.5""","8'10""",QB,72.625,,,30.5,106
QB,"Bridgewater, Teddy",6021,214,33,9 1/4,"30""","9'5""",QB,74.125,,,30,113
QB,"Carr, Derek",6023,214,31 1/2,9 1/8,"34.5""","9'2""",QB,74.375,,,34.5,110
QB,"Fales, David",6015,212,31 3/4,9 1/4,"28""","8'7""",QB,73.625,,,28,103
QB,"Garoppolo, Jimmy",6022,226,31,9 1/4,"30.5""","9'2""",QB,74.25,,,30.5,110
QB,"Lynch, Jordan",6001,217,29 3/4,8 7/8,"29.5""","9'1""",QB,72.125,,,29.5,109
QB,"Manziel, Johnny",5116,207,31 3/8,9 3/4,"31.5""","9'5""",QB,71.75,,,31.5,113
QB,"Matthews, Jeff",6032,223,32 1/8,10 1/8,"25.5""","8'9""",QB,75.25,,,25.5,105
QB,"McCarron, A.J.",6032,220,31 1/2,10,"28""","8'3""",QB,75.25,,,28,99
QB,"Mettenberger, Zach",6050,224,32 3/8,9 3/4,NA,NA,QB,77,,,NA,NA
QB,"Morris, Stephen",6017,213,32 3/4,10 1/4,"30""","9'3""",QB,73.875,,,30,111
QB,"Murray, Aaraon",6000,207,30 5/8,9 1/8,NA,NA,QB,72,,,NA,NA
QB,"Renner, Bryn",6032,228,30 3/8,9 1/8,"35.5""",9',QB,75.25,,,35.5,108
QB,"Savage, Tom",6037,228,31 5/8,9 5/8,"27""","8'9""",QB,75.875,,,27,105
QB,"Shaw, Connor",6003,206,30,9 1/4,"34""","9'8""",QB,72.375,,,34,116
QB,"Thomas, Logan",6061,248,34 1/4,10 7/8,"35.5""","9'10""",QB,78.125,,,35.5,118
QB,"Vaughan, Dustin",6047,235,33,8 7/8,"29""",9',QB,76.875,,,29,108
QB,"Wenning, Keith",6025,218,31 1/4,10,"28""","8'4""",QB,74.625,,,28,100
RB,"Andrews, Antonio",5101,225,31 1/4,9 1/2,"29.5""","8'10""",RB,70.125,,,29.5,106
RB,"Archer, Dri",5073,173,31,8 7/8,"38""","10'2""",RB,67.375,,,38,122
RB,"Atkinson, George",6013,218,33 1/4,9 3/8,"38""","10'1""",RB,73.375,,,38,121
RB,"Bibbs, Kapri",5093,212,31 3/8,8 1/2,"29""","8'10""",RB,69.375,,,29,106
RB,"Blue, Alfred",6023,223,32 3/8,9 7/8,"32""","10'1""",RB,74.375,,,32,121
RB,"Carey, Ka'Deem",5093,207,31 3/4,9 1/2,"32.5""","9'7""",RB,69.375,,,32.5,115
RB,"Copeland, J.C.",5111,271,32,10,"28.5""","9'3""",RB,71.125,,,28.5,111
RB,"Cornett, Tim",6002,209,31,9 1/4,"34.5""","10'5""",RB,72.25,,,34.5,125
RB,"Crowell, Isaiah",5110,224,31 3/4,9 1/4,"38""","9'9""",RB,71,,,38,117
RB,"Flanders, Tim",5085,207,30 1/4,9 1/4,"32""","9'5""",RB,68.625,,,32,113
RB,"Fluellen, David",5111,224,33 3/8,9 1/8,"36.5""",10',RB,71.125,,,36.5,120
RB,"Freeman, Devota",5082,206,29 3/8,9 5/8,"31.5""","9'10""",RB,68.25,,,31.5,118
RB,"Gaffney, Tyler",5114,220,30 1/4,9,"36.5""","9'8""",RB,71.5,,,36.5,116
RB,"Grice, Marion",6000,208,32,9 1/4,NA,NA,RB,72,,,NA,NA
RB,"Hewitt, Ryan",6041,246,32,9 1/4,"33""","9'1""",RB,76.125,,,33,109
RB,"Hill, Jeremy",6005,233,32 5/8,10 3/8,"29.5""","9'5""",RB,72.625,,,29.5,113
RB,"Hyde, Carlos",5117,230,32,9 5/8,"34.5""","9'6""",RB,71.875,,,34.5,114
RB,"Johnson, Storm",6000,209,32,9 1/2,"35.5""","9'10""",RB,72,,,35.5,118
RB,"Josey, Henry",5081,194,30 1/4,9 1/2,"34.5""","9'10""",RB,68.125,,,34.5,118
RB,"Mason, Tre",5084,207,30,9,"38.5""","10'6""",RB,68.5,,,38.5,126
RB,"McKinnon, Jerick",5087,209,30 1/4,8 5/8,"40.5""",11',RB,68.875,,,40.5,132
RB,"Millard, Trey",6020,247,31,9 1/8,NA,NA,RB,74,,,NA,NA
RB,"Muema, Adam",5100,202,29 7/8,9 3/4,NA,NA,RB,70,,,NA,NA
RB,"Perkins, LaDarius",5073,195,31,9 5/8,"35.5""","10'4""",RB,67.375,,,35.5,124
RB,"Redd, Silas",5096,212,30 1/4,9,"37""","10'2""",RB,69.75,,,37,122
RB,"Sankey, Bishop",5094,209,31,10,"35.5""","10'6""",RB,69.5,,,35.5,126
