#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group
QB,"Bryant, Kelly",6031,229,32 1/4,9 1/2,35,"10'5""",Quarterback
QB,"Burrow, Joe",6034,221,30 7/8,9,NA,NA,Quarterback
QB,"Davidson, Kevin",6041,224,30 7/8,8 1/4,NA,NA,Quarterback
QB,"Eason, Jacob",6057,231,32 7/8,9 1/2,27.5,"9'2""",Quarterback
QB,"Fromm, Jake",6017,219,31 1/8,8 7/8,30.0,"9'3""",Quarterback
QB,"Gordon, Anthony",6023,205,31,9 3/4,NA,NA,Quarterback
QB,"Herbert, Justin",6062,236,32 7/8,10,35.5,"10'3""",Quarterback
QB,"Hurts, Jalen",6010,222,31 3/4,9 3/4,35.0,"10'5""",Quarterback
QB,"Lewerke, Brian",6024,213,32 1/8,10 5/8,NA,NA,Quarterback
QB,"Love, Jordan",6036,224,32 5/8,10 1/2,35.5,"9'10""",Quarterback
QB,"Luton, Jake",6061,224,31 3/4,10 3/8,NA,NA,Quarterback
QB,"McDonald, Cole",6031,215,32 1/4,9 3/4,36.0,"10'1""",Quarterback
QB,"Montez, Steven",6040,231,32 3/4,9 3/8,33.0,"9'9""",Quarterback
QB,"Morgan, James",6040,229,33 3/8,9 3/4,29.0,"9'4""",Quarterback
QB,"Patterson, Shea",6007,212,30 1/2,9 3/8,31.0,"9'8""",Quarterback
QB,"Stanley, Nate",6036,235,32 5/8,10,28.5,"9'0""",Quarterback
QB,"Tagovailoa, Tua",6000,217,30 1/2,9 7/8,NA,NA,Quarterback
WR,"Aiyuk, Brandon",5115,205,33 1/2,9 3/4,40,"10'8""",Wide_Receiver
WR,"Bayless, Omar",6006,212,31 7/8,9,36,"10'3""",Wide_Receiver
WR,"Bowden, Lynn",5105,204,30 7/8,9 3/4,NA,NA,Wide_Receiver
WR,"Brown, Tony",6006,198,31 1/2,9 1/4,33.5,"9'11""",Wide_Receiver
WR,"Cager, Lawrence",6046,220,33 3/8,8 7/8,NA,NA,Wide_Receiver
WR,"Callaway, Marquez",6012,205,32 3/8,9 3/8,38,"10'6""",Wide_Receiver
WR,"Cephus, Quintez",6007,202,32 1/8,8 3/4,38.5,"10'4""",Wide_Receiver
WR,"Claypool, Chase",6042,238,32 1/2,9 7/8,40.5,"10'6""",Wide_Receiver
WR,"Cleveland, Tyrie",6023,209,32 7/8,9 1/8,39.5,"10'6""",Wide_Receiver
WR,"Coulter, Isaiah",6017,198,31 3/4,9,36,"10'1""",Wide_Receiver
WR,"Davis, Gabriel",6020,216,31 1/4,9 1/4,35,"10'4""",Wide_Receiver
WR,"Davis, Quartney",6012,201,31 3/8,9 1/2,35.5,NA,Wide_Receiver
WR,"Duvernay, Devin",5104,200,30 5/8,9 1/2,35.5,"10'3""",Wide_Receiver
WR,"Edwards, Bryan",6026,212,32 1/4,9 1/2,NA,NA,Wide_Receiver
WR,"Finke, Chris",5094,186,29,9,40,NA,Wide_Receiver
WR,"Fuller, Aaron",5106,188,29 3/4,8 7/8,34,"9'10""",Wide_Receiver
WR,"Gandy-Golden, Antonio",6040,223,31 3/4,9 5/8,36,"10'7""",Wide_Receiver
WR,"Gibson, Antonio",6003,228,31 1/8,8 5/8,35,"9'10""",Wide_Receiver
WR,"Guidry, Stephen",6030,201,32 3/4,9 1/8,34,"10'5""",Wide_Receiver
WR,"Hamler, KJ",5085,178,30 3/4,9 3/8,NA,NA,Wide_Receiver
WR,"Higgins, Tee",6035,216,34 1/8,9 1/4,NA,NA,Wide_Receiver
WR,"Hightower, John",6014,189,31 1/2,9 3/4,38.5,"10'2""",Wide_Receiver
WR,"Hill, K.J.",5117,196,29 1/8,9 1/4,32.5,"9'6""",Wide_Receiver
WR,"Hodgins, Isaiah",6035,210,33 1/8,9 7/8,36.5,"10'4""",Wide_Receiver
WR,"Jackson, Trishton",6006,197,32 3/8,9 3/4,36,"9'9""",Wide_Receiver
WR,"Jefferson, Justin",6012,202,33,9 1/8,37.5,"10'6""",Wide_Receiver
WR,"Jefferson, Van",6014,200,32 3/4,9 1/8,NA,NA,Wide_Receiver
WR,"Jennings, Jauan",6031,215,31 5/8,9,29,"9'11""",Wide_Receiver
WR,"Jeudy, Jerry",6010,193,32 1/8,9 1/2,35,"10'0""",Wide_Receiver
WR,"Johnson, Collin",6055,222,31 3/4,9,NA,NA,Wide_Receiver
WR,"Johnson, Juwan",6040,230,34 1/4,10 1/2,33,"10'4""",Wide_Receiver
WR,"Johnson, Tyler",6013,206,30 7/8,9,NA,NA,Wide_Receiver
WR,"Lamb, CeeDee",6015,198,32 1/4,9 1/4,34.5,"10'4""",Wide_Receiver
WR,"Lipscomb, Kalija",5117,207,32 7/8,9 3/8,32,"10'7""",Wide_Receiver
WR,"Mack, Austin",6014,208,33 5/8,10,31.5,"9'9""",Wide_Receiver
WR,"Mims, Denzel",6027,207,33 7/8,9 3/8,38.5,"10'11""",Wide_Receiver
WR,"Mooney, Darnell",5101,176,30 7/8,9 5/8,37,"10'4""",Wide_Receiver
WR,"Osborn, K.J.",5114,203,31 1/4,9 1/8,37.5,"10'3""",Wide_Receiver
WR,"Parker, Aaron",6015,209,31 1/8,9 1/8,26.5,"9'4""",Wide_Receiver
