Player,School,Height,Weight,Hand,Arm,Wing,Pos
Jack Coan,Notre Dame,75.25,218,9.5,31.125,74.875,QB
Matt Corral,Ole Miss,73.625,212,9.625,30.75,74.5,QB
Dustin Crum,Kent State,73,210,9.375,31.75,77.375,QB
Kaleb Eleby,Western Michigan,72.75,208,9.25,30.625,75.75,QB
Sam Howell,North Carolina,72.625,218,9.125,30.75,75.5,QB
Cole Kelley,SE Louisiana,79.375,249,9.875,33.75,81.25,QB
D'Eriq King,Miami,68.75,196,9.25,28.875,71.125,QB
EJ Perry,Brown,73.625,211,9,32,75.5,QB
Kenny Pickett,Pittsburgh,75.25,217,8.5,30.875,73.75,QB
Brock Purdy,Iowa State,72.625,212,9.25,29,70.125,QB
Desmond Ridder,Cincinnati,75.375,211,10,32.75,79,QB
Carson Strong,Nevada,75.375,226,9.125,32,76,QB
Skylar Thompson,Kansas State,73.875,217,8.625,31,74.625,QB
Malik Willis,Liberty,72.5,219,9.5,31.75,77.375,QB
Bailey Zappe,Western Kentucky,72.5,215,9.75,31.375,74.75,QB
Tyler Allgeier,BYU,70.75,224,9.625,31.5,74.5,RB
Tyler Badie,Missouri,68,197,9.125,29.375,71.375,RB
Greg Bell,San Diego State,70.5,201,9.375,30.875,73,RB
Max Borghi,Washington State,69.375,210,9.125,29.625,70.5,RB
Kennedy Brooks,Oklahoma,70.625,209,7.625,30.25,74.75,RB
Leddie Brown,West Virginia,72.125,213,9.75,31.375,76.25,RB
Ty Chandler,North Carolina,71.25,204,9,32.125,75.625,RB
Snoop Conner,Ole Miss,70.125,222,9.25,30.25,73.625,RB
James Cook,Georgia,71,199,9.375,30.75,76.25,RB
Jashaun Corbin,Florida State,71.125,202,9.5,31.5,76,RB
Tyrion Davis-Price,LSU,72.375,211,9.25,30.75,75.625,RB
Jerrion Ealy,Ole Miss,68.125,189,8.5,29.125,72.25,RB
Trestan Ebner,Baylor,70.75,206,8.5,29.75,72.5,RB
Jerome Ford,Cincinnati,70.5,210,9.125,30.625,73.25,RB
Tyler Goodson,Iowa,69,197,9,29.5,71.25,RB
Breece Hall,Iowa State,71.25,217,9.75,31.25,75.875,RB
Kevin Harris,South Carolina,69.875,221,9.25,31.25,76.75,RB
